iter	AUC	Logloss
0	0.8600239146	0.6209594231
1	0.8862471553	0.5753874672
2	0.9237024141	0.5165178335
3	0.9337399038	0.4686502305
4	0.9370270867	0.4346716662
5	0.948119742	0.4202224622
6	0.9564202121	0.4071083893
7	0.9619673344	0.3926490482
8	0.9678340428	0.3774586231
9	0.969012843	0.3665657706
10	0.9731469078	0.3586774675
11	0.9748130354	0.3489643796
12	0.9750501156	0.3393873557
13	0.9774794543	0.3334721805
14	0.9784214667	0.3241733434
15	0.9789448107	0.3172458726
16	0.9796817333	0.3117318351
17	0.9819063588	0.3043230765
18	0.9835399136	0.2965676355
19	0.9848257183	0.2912601988
20	0.9863265126	0.2847586678
21	0.987440196	0.2800189514
22	0.9887092067	0.2751065497
23	0.9890902946	0.2708696662
24	0.9899139642	0.2686676901
25	0.9909225452	0.2643083324
26	0.991211206	0.2618660577
27	0.9914756923	0.2583865381
28	0.9918080819	0.2539793438
29	0.9923492153	0.2500296189
30	0.9932132539	0.2460502337
31	0.9935813213	0.2421581364
32	0.9936850853	0.2392470756
33	0.9942819121	0.2355982852
34	0.9950424508	0.230425383
35	0.9951427883	0.2285640251
36	0.9955928449	0.2257873908
37	0.9957795363	0.2227212576
38	0.9960345878	0.2213613631
39	0.9962853779	0.2185310726
40	0.9967913957	0.215116845
41	0.9970442887	0.2128570666
42	0.9971105778	0.207514802
43	0.9971662914	0.2057648121
44	0.9974653434	0.2037094955
45	0.9976129586	0.201383753
46	0.9978006665	0.1993061683
47	0.9980266739	0.1938933791
48	0.9982685144	0.1893712133
49	0.9985229195	0.1876159633
50	0.9985752194	0.1851287274
51	0.9986547431	0.1840640328
52	0.9988115083	0.1822487211
53	0.9988292934	0.1808316247
54	0.9988799848	0.1784069536
55	0.9989989462	0.176954196
56	0.9991804172	0.1744455823
57	0.9991803516	0.1728088788
58	0.9992109372	0.1707053027
59	0.9993541608	0.168775242
60	0.9994238776	0.1668157498
61	0.9994520784	0.164746199
62	0.9994571987	0.1627079108
63	0.9994900352	0.1604261092
64	0.9995062577	0.1579752243
65	0.999664892	0.1545900084
66	0.9996762342	0.1520864583
67	0.9997294882	0.1495957583
68	0.9997385813	0.1484864689
69	0.9997893119	0.1457173864
70	0.9998044132	0.1439262521
71	0.9998035129	0.1409668838
72	0.9998254833	0.1387549919
73	0.9998488083	0.1371318995
74	0.9998461431	0.1355163154
75	0.9998648674	0.1344452691
76	0.999863432	0.131568074
77	0.9998826015	0.1293136119
78	0.9998973884	0.1275963505
79	0.9999106156	0.1254166033
80	0.9999117269	0.1233270874
81	0.9999376831	0.1219395501
82	0.9999338972	0.1208801754
83	0.9999384817	0.1196136151
84	0.9999363891	0.1187778984
85	0.9999445196	0.1173074925
86	0.9999538766	0.1154868128
87	0.999957495	0.1135324775
88	0.9999614521	0.1119622355
89	0.9999648287	0.1109617806
90	0.9999777091	0.1092241526
91	0.9999871684	0.1082236033
92	0.9999882917	0.1055333562
93	0.9999863989	0.1046015091
94	0.9999870499	0.1034171974
95	0.9999874023	0.1020983795
96	0.9999913624	0.1004394276
97	0.9999905667	0.09953103029
98	0.9999937872	0.09850187502
99	0.9999933957	0.09755779784
100	0.9999928804	0.09697482742
101	0.9999930062	0.09533016197
102	0.9999926542	0.09399930363
103	0.9999933979	0.09326531848
104	0.9999978861	0.09225141007
105	0.9999985476	0.09093673915
106	0.9999986625	0.0899182746
107	0.9999987159	0.08880490588
108	0.999999182	0.08796877633
109	0.9999997138	0.08688732505
110	0.999999714	0.08551626302
111	0.9999996032	0.08456294145
112	0.9999997243	0.08382270785
113	0.9999998063	0.08301947294
114	0.9999996035	0.08201134672
115	0.9999996132	0.08096357658
116	0.9999998405	0.08016913538
117	0.9999998231	0.07937815802
118	0.9999998841	0.07849495054
119	0.9999999929	0.07726890087
120	0.9999999935	0.07661415445
121	0.9999999935	0.07567775491
122	0.9999999946	0.07454145171
123	0.9999999946	0.0734530966
124	0.9999999946	0.07271195284
125	0.9999999983	0.07194209373
126	0.9999999986	0.07166136243
127	0.9999999986	0.07119392386
128	0.9999999986	0.07061621956
129	0.9999999986	0.06982564679
130	0.9999999986	0.06871766779
131	0.9999999986	0.06769917496
132	0.9999999986	0.06662472456
133	0.9999999986	0.06583805289
134	1	0.06494208385
135	0.9999999986	0.06411750239
136	1	0.06350473781
137	1	0.06307579902
138	1	0.06211104156
139	1	0.06126268185
140	1	0.06092041175
141	1	0.05993615088
142	1	0.05927861492
143	1	0.0587496153
144	1	0.05799209212
145	1	0.0573057421
146	1	0.05660934787
147	1	0.05616444361
148	1	0.05557588875
149	1	0.05469995391
