iter	Passed	Remaining
0	91	13564
1	178	13222
2	266	13045
3	358	13095
4	448	13013
5	537	12907
6	629	12855
7	711	12632
8	795	12456
9	896	12544
10	991	12533
11	1081	12439
12	1176	12399
13	1260	12245
14	1350	12157
15	1442	12082
16	1527	11951
17	1617	11865
18	1702	11735
19	1793	11657
20	1881	11560
21	1976	11497
22	2071	11438
23	2159	11336
24	2244	11222
25	2327	11099
26	2419	11021
27	2501	10900
28	2590	10808
29	2673	10695
30	2756	10583
31	2840	10474
32	2927	10380
33	3018	10296
34	3105	10202
35	3190	10103
36	3271	9992
37	3354	9887
38	3438	9785
39	3521	9685
40	3614	9609
41	3697	9508
42	3784	9416
43	3870	9324
44	3977	9281
45	4073	9210
46	4166	9131
47	4256	9044
48	4347	8961
49	4435	8871
50	4521	8776
51	4606	8681
52	4692	8588
53	4770	8480
54	4861	8396
55	4958	8322
56	5055	8247
57	5147	8164
58	5238	8078
59	5325	7988
60	5416	7903
61	5503	7811
62	5590	7719
63	5673	7623
64	5764	7537
65	5853	7449
66	5944	7363
67	6033	7275
68	6113	7177
69	6203	7089
70	6294	7003
71	6379	6911
72	6472	6827
73	6555	6732
74	6640	6640
75	6728	6551
76	6819	6465
77	6905	6374
78	7000	6291
79	7095	6208
80	7187	6122
81	7274	6032
82	7358	5940
83	7444	5849
84	7533	5761
85	7627	5676
86	7720	5590
87	7811	5503
88	7910	5421
89	8015	5343
90	8107	5256
91	8200	5170
92	8290	5081
93	8381	4993
94	8473	4905
95	8560	4815
96	8642	4722
97	8740	4637
98	8834	4551
99	8926	4463
100	9015	4373
101	9107	4285
102	9195	4195
103	9286	4107
104	9373	4017
105	9459	3926
106	9551	3838
107	9634	3746
108	9727	3659
109	9817	3570
110	9915	3483
111	10005	3394
112	10093	3304
113	10175	3213
114	10268	3125
115	10356	3035
116	10438	2944
117	10521	2853
118	10599	2761
119	10687	2671
120	10771	2581
121	10863	2493
122	10947	2403
123	11036	2314
124	11124	2224
125	11214	2136
126	11296	2045
127	11383	1956
128	11472	1867
129	11553	1777
130	11637	1687
131	11729	1599
132	11811	1509
133	11904	1421
134	11988	1332
135	12078	1243
136	12169	1154
137	12259	1066
138	12349	977
139	12435	888
140	12515	798
141	12599	709
142	12685	620
143	12778	532
144	12861	443
145	12956	354
146	13042	266
147	13129	177
148	13215	88
149	13301	0
